id,slug,tag
323,number-of-connected-components-in-an-undirected-graph,Graphs
261,graph-valid-tree,Graphs
127,word-ladder,Graphs
332,reconstruct-itinerary,Advanced Graphs
1584,min-cost-to-connect-all-points,Advanced Graphs
743,network-delay-time,Advanced Graphs
778,swim-in-rising-water,Advanced Graphs
787,cheapest-flights-within-k-stops,Advanced Graphs
269,alien-dictionary,Advanced Graphs
70,climbing-stairs,1-D Dynamic Programming
746,min-cost-climbing-stairs,1-D Dynamic Programming
198,house-robber,1-D Dynamic Programming
213,house-robber-ii,1-D Dynamic Programming
5,longest-palindromic-substring,1-D Dynamic Programming
647,palindromic-substrings,1-D Dynamic Programming
91,decode-ways,1-D Dynamic Programming
322,coin-change,1-D Dynamic Programming
152,maximum-product-subarray,1-D Dynamic Programming
139,word-break,1-D Dynamic Programming
300,longest-increasing-subsequence,1-D Dynamic Programming
416,partition-equal-subset-sum,1-D Dynamic Programming
62,unique-paths,2-D Dynamic Programming
1143,longest-common-subsequence,2-D Dynamic Programming
309,best-time-to-buy-and-sell-stock-with-cooldown,2-D Dynamic Programming
518,coin-change-ii,2-D Dynamic Programming
494,target-sum,2-D Dynamic Programming
97,interleaving-string,2-D Dynamic Programming
329,longest-increasing-path-in-a-matrix,2-D Dynamic Programming
115,distinct-subsequences,2-D Dynamic Programming
72,edit-distance,2-D Dynamic Programming
312,burst-balloons,2-D Dynamic Programming
10,regular-expression-matching,2-D Dynamic Programming
53,maximum-subarray,Greedy
55,jump-game,Greedy
45,jump-game-ii,Greedy
134,gas-station,Greedy
846,hand-of-straights,Greedy
1899,merge-triplets-to-form-target-triplet,Greedy
763,partition-labels,Greedy
678,valid-parenthesis-string,Greedy
57,insert-interval,Intervals
56,merge-intervals,Intervals
435,non-overlapping-intervals,Intervals
252,meeting-rooms,Intervals
253,meeting-rooms-ii,Intervals
1851,minimum-interval-to-include-each-query,Intervals
48,rotate-image,Math & Geometry
54,spiral-matrix,Math & Geometry
73,set-matrix-zeroes,Math & Geometry
202,happy-number,Math & Geometry
66,plus-one,Math & Geometry
50,powx-n,Math & Geometry
43,multiply-strings,Math & Geometry
2013,detect-squares,Math & Geometry
136,single-number,Math & Geometry
191,number-of-1-bits,Math & Geometry
338,counting-bits,Math & Geometry
190,reverse-bits,Math & Geometry
268,missing-number,Math & Geometry
371,sum-of-two-integers,Math & Geometry
7,reverse-integer,Math & Geometry
137,single-number-ii,Bit Manipulation
201,bitwise-and-of-numbers-range,Bit Manipulation
476,number-complement,Bit Manipulation
832,flipping-an-image,Bit Manipulation
